m,scenario,effect,detector,power_column,target,crossover_length,status
6,exact_orbit,0.08,shared_orbit,power_calibrated,0.5,2543.5120078015934,internal
6,exact_orbit,0.12,full,power_calibrated,0.5,1745.7634267902674,internal
6,exact_orbit,0.12,fundamental,power_calibrated,0.5,1228.0697609045544,internal
6,exact_orbit,0.12,shared_orbit,power_calibrated,0.5,1044.4093581678476,internal
6,exact_orbit,0.18,full,power_calibrated,0.5,960.8083604434125,internal
6,exact_orbit,0.18,fundamental,power_calibrated,0.5,571.4811379787332,internal
6,exact_orbit,0.18,shared_orbit,power_calibrated,0.5,487.60546168178996,internal
6,exact_orbit,0.25,full,power_calibrated,0.5,411.0955297726428,internal
6,exact_orbit,0.25,fundamental,power_calibrated,0.5,292.53537848362345,internal
6,exact_orbit,0.25,shared_orbit,power_calibrated,0.5,253.71261710417207,internal
6,higher_mode,0.08,full,power_calibrated,0.5,2946.222948575297,internal
6,higher_mode,0.08,fundamental,power_calibrated,0.5,,above_grid
6,higher_mode,0.08,shared_orbit,power_calibrated,0.5,,above_grid
6,higher_mode,0.12,full,power_calibrated,0.5,1367.7404978298987,internal
6,higher_mode,0.12,fundamental,power_calibrated,0.5,,above_grid
6,higher_mode,0.12,shared_orbit,power_calibrated,0.5,,above_grid
6,higher_mode,0.18,full,power_calibrated,0.5,598.3879324735937,internal
6,higher_mode,0.18,fundamental,power_calibrated,0.5,,above_grid
6,higher_mode,0.18,shared_orbit,power_calibrated,0.5,,above_grid
6,higher_mode,0.25,full,power_calibrated,0.5,293.49447262223157,internal
6,higher_mode,0.25,fundamental,power_calibrated,0.5,,above_grid
6,higher_mode,0.25,shared_orbit,power_calibrated,0.5,,above_grid
6,independent_fundamental,0.08,full,power_calibrated,0.5,,above_grid
6,independent_fundamental,0.08,fundamental,power_calibrated,0.5,,above_grid
6,independent_fundamental,0.08,shared_orbit,power_calibrated,0.5,5555.78308241548,internal
6,independent_fundamental,0.12,full,power_calibrated,0.5,4394.162567314464,internal
6,independent_fundamental,0.12,fundamental,power_calibrated,0.5,3331.418087519708,internal
6,independent_fundamental,0.12,shared_orbit,power_calibrated,0.5,2755.6365725847118,internal
6,independent_fundamental,0.18,full,power_calibrated,0.5,2056.784646225827,internal
6,independent_fundamental,0.18,fundamental,power_calibrated,0.5,1392.8809012737984,internal
6,independent_fundamental,0.18,shared_orbit,power_calibrated,0.5,1201.5513058716053,internal
6,independent_fundamental,0.25,full,power_calibrated,0.5,1023.4875774926662,internal
6,independent_fundamental,0.25,fundamental,power_calibrated,0.5,711.6071868293651,internal
6,independent_fundamental,0.25,shared_orbit,power_calibrated,0.5,583.3265733802151,internal
