m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,exact_orbit,0.12,1600,0.5,1600,1600,3200,full,0.007148489757645725,22.87516722446632,24.12461255516096,20.782306691327,7.374512781170958,-1.4233590712818573,0.008,1.0,1.0,,500,1000,0.05,0,269266691,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,1600,0.5,1600,1600,3200,fundamental,0.007148489757645815,22.875167224466608,24.124612555158112,20.78230669132415,7.374512781170946,-1.423359071284131,0.008,1.0,1.0,,500,1000,0.05,0,269266691,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,1600,0.5,1600,1600,3200,shared_orbit,0.007148489757645815,22.875167224466608,23.650701530540527,23.650701530540527,7.387139800209893,-12.514926790006939,0.0,1.0,1.0,1.0,500,1000,0.05,0,269266691,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,3200,0.5,3200,3200,6400,full,0.007148489757645725,45.75033444893264,46.873108307591615,43.18422885347769,9.812086851430088,-1.6518700715080357,0.009,1.0,1.0,,500,1000,0.05,0,1800688465,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,3200,0.5,3200,3200,6400,fundamental,0.007148489757645815,45.750334448933216,46.87310830760232,43.184228853488385,9.812086851430161,-1.6518700714934837,0.009,1.0,1.0,,500,1000,0.05,0,1800688465,0,0,0,0,0,0,0,500
2,exact_orbit,0.12,3200,0.5,3200,3200,6400,shared_orbit,0.007148489757645815,45.750334448933216,46.385518655562585,46.385518655562585,9.790033193905787,-31.25906197360564,0.0,1.0,1.0,1.0,500,1000,0.05,0,1800688465,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,100,0.5,100,100,200,full,0.015941287790780467,3.1882575581560935,3.55755955694182,1.6015480542277465,2.397467573480902,0.06300790980539572,0.055,0.742,0.676,,500,1000,0.05,0,490805714,44,118,0,0,0,0,5,333
2,exact_orbit,0.18,100,0.5,100,100,200,fundamental,0.015941287790780412,3.1882575581560824,3.5575595569419765,1.6015480542279028,2.397467573480908,0.06300790980556625,0.055,0.742,0.676,,500,1000,0.05,0,490805714,44,118,0,0,0,0,5,333
2,exact_orbit,0.18,100,0.5,100,100,200,shared_orbit,0.015941287790780412,3.1882575581560824,3.017270406190219,3.017270406190219,2.4897924890903362,0.24029668208541466,0.055,0.912,0.902,1.0,500,1000,0.05,0,490805714,44,118,0,0,0,0,5,333
2,exact_orbit,0.18,200,0.5,200,200,400,full,0.015941287790780467,6.376515116312187,6.7899883597883415,4.487403266794297,3.393488324809172,-0.2788291213989944,0.035,0.934,0.942,,500,1000,0.05,0,1290051944,0,29,0,0,0,0,0,471
2,exact_orbit,0.18,200,0.5,200,200,400,fundamental,0.015941287790780412,6.376515116312165,6.789988359788289,4.487403266794243,3.3934883248091823,-0.2788291213989944,0.035,0.934,0.942,,500,1000,0.05,0,1290051944,0,29,0,0,0,0,0,471
2,exact_orbit,0.18,200,0.5,200,200,400,shared_orbit,0.015941287790780412,6.376515116312165,6.28347770455717,6.28347770455717,3.401748228588519,-1.0866710432661648,0.008,0.99,1.0,1.0,500,1000,0.05,0,1290051944,0,29,0,0,0,0,0,471
2,exact_orbit,0.18,400,0.5,400,400,800,full,0.015941287790780467,12.753030232624374,12.894521202655355,10.245362519381334,4.888265157452746,-0.7756058948469131,0.018,0.998,1.0,,500,1000,0.05,0,599300047,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,400,0.5,400,400,800,fundamental,0.015941287790780412,12.75303023262433,12.89452120265524,10.245362519381223,4.888265157452765,-0.7756058948474815,0.018,0.998,1.0,,500,1000,0.05,0,599300047,0,0,0,0,0,0,0,500
